semantic_channels,compression_ratio_definition,compression_ratio_value,semantic_symbol_ratio,bandwidth_estimate,checkpoint_path,train_channel,train_snr_policy,eval_snr,psnr,ssim,monte_carlo_samples
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",-5.0,19.157007042566935,0.4684941448271275,5
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",0.0,24.78128283818563,0.7260918021202087,5
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",5.0,29.190679915746053,0.8953919917345047,5
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",10.0,31.520244089762368,0.9465049813191097,5
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",15.0,32.49912694295247,0.960189500451088,5
16,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,3.0,0.3333333333333333,"{""bandwidth_ratio"": 0.3333333333333333, ""compression_ratio"": 3.0, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [16, 8, 8], ""semantic_symbols"": 1024}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",20.0,32.84459034601847,0.9642018919189771,5
32,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,1.5,0.6666666666666666,"{""bandwidth_ratio"": 0.6666666666666666, ""compression_ratio"": 1.5, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [32, 8, 8], ""semantic_symbols"": 2048}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",-5.0,20.193619696299233,0.5345702278117339,5
32,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,1.5,0.6666666666666666,"{""bandwidth_ratio"": 0.6666666666666666, ""compression_ratio"": 1.5, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [32, 8, 8], ""semantic_symbols"": 2048}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",0.0,27.479222679138182,0.8400407552719116,5
32,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,1.5,0.6666666666666666,"{""bandwidth_ratio"": 0.6666666666666666, ""compression_ratio"": 1.5, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [32, 8, 8], ""semantic_symbols"": 2048}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",5.0,31.720433553059895,0.9443327620625496,5
32,semantic_compression_ratio = input_scalars / semantic_symbols; not file-size compression,1.5,0.6666666666666666,"{""bandwidth_ratio"": 0.6666666666666666, ""compression_ratio"": 1.5, ""downsampling_factor"": 4, ""input_scalars"": 3072, ""input_shape"": [3, 32, 32], ""semantic_shape"": [32, 8, 8], ""semantic_symbols"": 2048}",outputs/train_cifar10_awgn/ts_05050150__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42/best_model.pth,awgn,"[0.0, 5.0, 10.0, 15.0, 20.0]",10.0,33.94115258852641,0.9708300232887268,5
