semantic_channels,snr_db,channel,deepsc_psnr,deepsc_ssim,source
16,-5.0,rayleigh,18.406447426478067,0.4526993287106355,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,0.0,rayleigh,24.688039048512778,0.7236790657043457,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,5.0,rayleigh,29.561961094538372,0.8983897805213928,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,10.0,rayleigh,32.39282279014587,0.9506255740920703,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,15.0,rayleigh,33.640819454193114,0.9639010637998581,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,20.0,rayleigh,34.10357371966044,0.967695277929306,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,-5.0,rayleigh,18.58682565689087,0.47012915288408597,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,0.0,rayleigh,26.85286299387614,0.8153303374846776,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,5.0,rayleigh,32.233252652486165,0.9435263906915983,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,10.0,rayleigh,35.28725887934367,0.9759620303908983,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,15.0,rayleigh,36.777667649586995,0.9848918174703916,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,20.0,rayleigh,37.3822078704834,0.9875853608051935,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,-5.0,rayleigh,21.50649380683899,0.6247017835577329,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,0.0,rayleigh,30.23592669169108,0.9089069897929828,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,5.0,rayleigh,34.485963884989424,0.971150255203247,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,10.0,rayleigh,36.514684200286865,0.9864168321092923,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,15.0,rayleigh,37.36582403182983,0.9907314111789067,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,20.0,rayleigh,37.67548818588257,0.9920471479495366,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05080124__ch_rayleigh__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
