semantic_channels,snr_db,channel,deepsc_psnr,deepsc_ssim,source
16,-5.0,awgn,18.55574639638265,0.4442789554595947,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,0.0,awgn,24.5390141805013,0.716630420088768,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,5.0,awgn,29.258650541305542,0.8994845628738404,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,10.0,awgn,31.601670376459758,0.9476079086462657,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,15.0,awgn,32.511779133478804,0.9591502984364827,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
16,20.0,awgn,32.82335327466329,0.9623447209596634,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_16__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,-5.0,awgn,19.240059065818787,0.5052558521429698,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,0.0,awgn,26.738495349884033,0.8135390688975652,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,5.0,awgn,31.774511051177978,0.938884315888087,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,10.0,awgn,34.82792501449585,0.9739279429117839,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,15.0,awgn,36.32482725779216,0.9839437211553256,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
32,20.0,awgn,36.934764798482256,0.9870003814498584,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_32__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,-5.0,awgn,21.89932508468628,0.6183220719297727,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,0.0,awgn,29.730007044474284,0.8898534566164017,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,5.0,awgn,34.62358573277791,0.964453338086605,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,10.0,awgn,37.70257326761882,0.9853438590963681,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,15.0,awgn,39.335168552398684,0.9915943011641503,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
64,20.0,awgn,40.02338310877482,0.9935314883788426,E:\Administrator\Downloads\Code\DeepSC-Image\outputs\eval_kodak\ts_05050955__ch_awgn__snr_0_5_10_15_20__sem_64__base_32__img_32__seed_42__ckpt_best_model\metrics.json
